Entity,Year,biomass_nox_per_capita,brown_coal_nox_per_capita,coal_coke_nox_per_capita,diesel_oil_nox_per_capita,hard_coal_nox_per_capita,heavy_oil_nox_per_capita,light_oil_nox_per_capita,natural_gas_nox_per_capita,process_nox_per_capita,biomass_so2_per_capita,brown_coal_so2_per_capita,coal_coke_so2_per_capita,diesel_oil_so2_per_capita,hard_coal_so2_per_capita,heavy_oil_so2_per_capita,light_oil_so2_per_capita,natural_gas_so2_per_capita,process_so2_per_capita,biomass_co_per_capita,brown_coal_co_per_capita,coal_coke_co_per_capita,diesel_oil_co_per_capita,hard_coal_co_per_capita,heavy_oil_co_per_capita,light_oil_co_per_capita,natural_gas_co_per_capita,process_co_per_capita,biomass_oc_per_capita,brown_coal_oc_per_capita,coal_coke_oc_per_capita,diesel_oil_oc_per_capita,hard_coal_oc_per_capita,heavy_oil_oc_per_capita,light_oil_oc_per_capita,natural_gas_oc_per_capita,process_oc_per_capita,biomass_nmvoc_per_capita,brown_coal_nmvoc_per_capita,coal_coke_nmvoc_per_capita,diesel_oil_nmvoc_per_capita,hard_coal_nmvoc_per_capita,heavy_oil_nmvoc_per_capita,light_oil_nmvoc_per_capita,natural_gas_nmvoc_per_capita,process_nmvoc_per_capita,biomass_bc_per_capita,brown_coal_bc_per_capita,coal_coke_bc_per_capita
Afghanistan,1819,0.0492932203578815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1863227165300644,0.0558208579182374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.88437629299545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1848685534579486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.225081357935445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1054678703958375,0.6538451175066763,0.0,0.0
Afghanistan,1820,0.0493948978239345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1873591003433985,0.0559359999873662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.00171208882038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.189375296911947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2358591693370595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057020508911201,0.6551938083460344,0.0,0.0
Afghanistan,1821,0.0494173396860999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1880996000365158,0.0559614137053229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.02760999775932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1903700081231485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.238238006726585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057683044982592,0.6554914862396286,0.0,0.0
Afghanistan,1822,0.0493951773555961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886705502375123,0.0559363165359109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.00203466835807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1893876868498063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.235888799693185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057390978019455,0.6551975161665174,0.0,0.0
Afghanistan,1823,0.0493287382807647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1890714305886835,0.0558610792897044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.92536397600266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.186442846884675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.228846257761052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1056150825001277,0.6543162415333161,0.0,0.0
Afghanistan,1824,0.0492618590664521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1894690801513807,0.0557853436186986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.848185362685854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183478498214193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.221757061043911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105490081898931,0.6534291287128607,0.0,0.0
Afghanistan,1825,0.0491945495154057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1898635184272109,0.0557091206237673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.77051014077835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180495075334518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21462224863303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053641164838324,0.6525363077327416,0.0,0.0
Afghanistan,1826,0.0491267901443221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1902443197623876,0.0556323882415365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6923158265478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1774917146693435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.207439755298165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052371440192184,0.6516375201585735,0.0,0.0
Afghanistan,1827,0.0490586200144646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1906322942574611,0.0555551907059441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.61364749669211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174470147566821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.200213721533267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105109247673433,0.6507332841146832,0.0,0.0
Afghanistan,1828,0.0489900197367612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1910170044017885,0.0554775060603266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.53448277622243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17142951462735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.192942092096697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1049803854194053,0.6498233424166089,0.0,0.0
