Entity,Year,% global domestic CO2,% global domestic RPKs,% global international CO2,% global international RPKs,% global total CO2,% global total RPKs,Domestic RPKs (billions),Domestic aviation CO2 (Mt),International RPKs (billions),International aviation CO2 (Mt),Total RPKs (billions),Total aviation CO2 (Mt),Per capita total RPKs,Per capita domestic RPKs,Per capita international RPKs,Per capita aviation CO2,Per capita domestic aviation CO2,Per capita international aviation CO2,Inbound-outbound flight ratio,Per capita international RPKs - adjusted,Per capita international CO2 - adjusted,Per capita total RPKs - adjusted,Per capita aviation CO2 - adjusted
El Salvador,2018,0.0,0.0,0.000566794758321,0.0006023890620951,0.000566794758321,0.0006023890620951,0.0,0.0,5.121904454521609,0.4232814763050736,5.121904454521609,0.4232814763050736,797.680182918799,0.0,797.680182918799,0.0659214259936261,0.0,0.0659214259936261,0.751207297442318,599.2231744337248,0.0495206562642156,599.2231744337248,0.0495206562642156
Ethiopia,2018,0.0001625243096632,9.751617057043456e-05,0.0022983363167359,0.0023342624255147,0.0024608606263992,0.0024317785960851,0.8291460450749999,0.1213729109519193,19.847420658144003,1.716394117820074,20.676566703219,1.8377670287719936,189.3042436023127,7.591244095391121,181.7129995069216,0.0168256704457994,0.0011112293172921,0.0157144411285072,,,,,
European Union,2018,0.0895262021532321,0.0925515964617946,0.1002738097185391,0.1048714000043654,0.1898000118717713,0.1974229964661601,786.934,66.858033634,891.685,74.884330861,1678.619,141.742364495,,,,,,,0.7207194457660471,,,,
Fiji,2018,6.191057006229019e-05,6.083877101157041e-05,0.0004564904717989,0.0004890305463697,0.0005184010418612,0.0005498693173812,0.5172908870024997,0.0462347209640375,4.158056464598801,0.3409064003954849,4.675347351601301,0.3871411213595225,5294.844112798756,585.8333941138162,4709.010718684939,0.4384384160356993,0.0523609523941535,0.3860774636415457,0.2,941.802143736988,0.0772154927283091,1527.6355378508042,0.1295764451224627
Finland,2018,0.0002772001241101,0.0002356823241236,0.0024283168681891,0.0028930983736464,0.0027055169922993,0.0031287806977701,2.003924741898099,0.2070126373660218,24.599008149004963,1.813463398899918,26.602932890903062,2.02047603626594,4816.754099384947,362.8326528875791,4453.9214464973675,0.3658294470878037,0.0374819187698753,0.3283475283179283,2.9311414392059554,13055.073718796564,0.9624330467135306,13417.906371684145,0.999914965483406
France,2018,0.0060628168635649,0.0052587498528982,0.0195742427095644,0.0206666630086247,0.0256370595731293,0.0259254128615229,44.713319002000006,4.52770255,175.7214398213285,14.61801512808719,220.4347588233285,19.14571767808719,3391.773612089805,687.9924759120495,2703.7811361777553,0.2945902921648719,0.0696666084534781,0.2249236837113937,0.3013143458498466,814.6880443685554,0.0677727326236364,1502.680520280605,0.1374393410771145
Georgia,2018,7.036266626978201e-07,2.337903767359086e-07,0.0005135310147598,0.0004979720143357,0.0005142346414225,0.0004982058047125,0.001987838172,0.000525467337483,4.234082653464201,0.383504192416739,4.236070491636201,0.3840296597542221,1058.2239549428432,0.4965871026729953,1057.7273678401702,0.0959354633410497,0.0001312683830834,0.0958041949579662,0.7773807021231869,822.2568438665019,0.0744763323427705,822.7534309691748,0.0746076007258539
Germany,2018,0.0020455071035004,0.0014522033188017,0.0276429283877524,0.0276195409277428,0.0296884354912529,0.0290717442465446,12.347579190053908,1.5275816401811242,234.8393399070597,20.643697503523363,247.1869190971136,22.17127914370449,2973.712996211848,148.54409304236933,2825.168903169478,0.2667253638384159,0.0183771430655541,0.2483482207728617,2.79164630539338,7886.872330645341,0.6933003929715791,8035.41642368771,0.7116775360371332
Greece,2018,0.0005469186116355,0.0003269346470359,0.0041519931393685,0.0048295139384641,0.0046989117510041,0.0051564485855,2.7798114712883946,0.4084379997400465,41.06367547339101,3.1007022556917407,43.843486944679405,3.509140255431787,4166.839664006786,264.1904078396117,3902.6492561671744,0.3335050613411697,0.0388175251606202,0.2946875361805494,0.264283105932344,1031.404266784413,0.0778809373413456,1295.5946746240247,0.1166984625019658
Hungary,2018,2.521921123360912e-07,1.0241704119438114e-07,0.0011756707994579,0.0013115766326791,0.0011759229915703,0.0013116790497203,0.0008708164415999,0.0001883366916418,11.151879441504535,0.8779891915680409,11.152750257946137,0.8781775282596828,1148.8205869330586,0.0897009107540173,1148.7308860223047,0.0904591603069306,1.9400153650784178e-05,0.0904397601532798,0.492764357338195,566.0536368053164,0.0445654902897514,566.1433377160704,0.0445848904434022
