Entity,Year,CO2 per year by region (CDIAC (2017))
Africa,1867,0.0
Africa,1868,0.0
Africa,1869,0.0
Africa,1870,0.0
Africa,1871,0.0
Africa,1872,0.0
Africa,1873,0.0
Africa,1874,0.0
Africa,1875,0.0
Africa,1876,0.0
Africa,1877,0.0
Africa,1878,0.0
Africa,1879,0.0
Africa,1880,0.0
Africa,1881,0.0
Africa,1882,0.0
Africa,1883,0.0
Africa,1884,2.202e-05
Africa,1885,3.67e-05
Africa,1886,4.771e-05
Africa,1887,4.771e-05
Africa,1888,8.074e-05
Africa,1889,0.00013212
Africa,1890,0.00029727
Africa,1891,0.00029727
Africa,1892,0.00048077
Africa,1893,0.00180197
Africa,1894,0.00243688
Africa,1895,0.00334337
Africa,1896,0.00426454
Africa,1897,0.00478568
Africa,1898,0.00605917
Africa,1899,0.00552702
Africa,1900,0.00233412
Africa,1901,0.00391589
Africa,1902,0.0058353
Africa,1903,0.00790885
Africa,1904,0.00892544
Africa,1905,0.01027967
Africa,1906,0.01173666
Africa,1907,0.01295143
Africa,1908,0.01342486
Africa,1909,0.01543602
Africa,1910,0.0175059
Africa,1911,0.01700678
Africa,1912,0.01809677
Africa,1913,0.01982167
Africa,1914,0.01956477
Africa,1915,0.01988039
Africa,1916,0.02352837
Africa,1917,0.02549182
Africa,1918,0.02466974
Africa,1919,0.02544411
Africa,1920,0.02851223
Africa,1921,0.02847186
Africa,1922,0.02446055
Africa,1923,0.02983343
Africa,1924,0.03184092
Africa,1925,0.03363188
Africa,1926,0.03592563
Africa,1927,0.03543018
Africa,1928,0.03719545
Africa,1929,0.03853867
Africa,1930,0.03638071
Africa,1931,0.03158402
Africa,1932,0.02897465
Africa,1933,0.0317455
Africa,1934,0.03660091
Africa,1935,0.04034798
Africa,1936,0.04418313
Africa,1937,0.04869356
