Entity,Year,barley_attainable,cassava_attainable,cotton_attainable,groundnut_attainable,maize_attainable,millet_attainable,oilpalm_attainable,potato_attainable,rapeseed_attainable,rice_attainable,rye_attainable,sorghum_attainable,soybean_attainable,sugarbeet_attainable,sugarcane_attainable,sunflower_attainable,wheat_attainable,wheat_yield_gap,barley_yield_gap,rye_yield_gap,millet_yield_gap,sorghum_yield_gap,maize_yield_gap,cassava_yield_gap,soybeans_yield_gap,rapeseed_yield_gap,sugarbeet_yield_gap,sugarcane_yield_gap,potato_yield_gap,oilpalm_yield_gap,groundnut_yield_gap,rice_yield_gap,sunflower_yield_gap,cotton_yield_gap
Afghanistan,2001,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.1,2.29,,1.17,,8.4,,,,73.01,0.0,29.020000000000003,,,7.359999999999999,0.5,2.22
Afghanistan,2002,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.46,1.83,,1.18,,7.42,,,,73.01,0.0,29.380000000000003,,,6.489999999999999,0.48,2.22
Afghanistan,2003,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.5,2.4,,1.12,,9.56,,,,73.01,0.0,29.14,,,6.369999999999999,0.4700000000000002,2.26
Afghanistan,2004,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.73,2.37,,1.09,,8.8,,,,73.01,0.0,28.160000000000004,,,6.989999999999999,0.4400000000000001,2.26
Afghanistan,2005,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.1799999999999997,1.89,,1.17,,9.19,,,,75.01,0.0,30.81,,,6.33,0.4000000000000001,2.26
Afghanistan,2006,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.62,1.75,,0.98,,7.78,,,,75.01,0.0,30.81,,,5.9799999999999995,0.4200000000000001,2.36
Afghanistan,2007,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.1799999999999997,1.72,,0.31,,7.77,,,,72.83000000000001,0.0,30.770000000000003,,,6.109999999999999,0.3800000000000001,2.36
Afghanistan,2008,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,1.88,,0.1499999999999999,,7.77,,,,75.14,0.0,31.81,,,6.139999999999999,0.4500000000000002,2.36
Afghanistan,2009,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.03,1.47,,0.08,,8.26,,,,63.010000000000005,0.0,31.81,,,6.129999999999999,0.4400000000000001,2.0599999999999996
Afghanistan,2010,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.0700000000000003,1.23,,0.0,,8.76,,,,65.02000000000001,0.0,33.81,,,6.129999999999999,0.4100000000000001,2.36
Afghanistan,2011,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.48,1.68,,0.0,,8.76,,,,65.01,0.0,35.81,,,6.159999999999999,0.4000000000000001,2.36
Afghanistan,2012,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.99,1.49,,0.0,,8.2,,,,66.01,0.0,34.86,,,6.92,0.3800000000000001,2.26
Afghanistan,2013,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.98,1.44,,0.0,,8.2,,,,62.940000000000005,0.0,32.61,,,6.859999999999999,0.4700000000000002,2.2
Afghanistan,2014,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.98,1.77,,0.0,,7.91,,,,66.45,0.0,32.2,,,6.92,0.0,2.1399999999999997
Afghanistan,2015,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.7999999999999998,1.86,,0.0,,8.25,,,,69.85000000000001,0.0,32.72,,,6.859999999999999,0.2200000000000002,2.16
Afghanistan,2016,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.02,1.91,,0.0,,8.350000000000001,,,,70.18,0.0,33.82,,,6.359999999999999,0.31,2.21
Afghanistan,2017,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.97,1.9,,0.0,,9.1,,,,67.55000000000001,0.0,29.83,,,6.27,0.26,2.21
Afghanistan,2018,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,1.79,2.62,,0.0,,8.93,,,,50.650000000000006,0.0,26.81,,,6.359999999999999,0.29,2.36
Albania,1961,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.91,5.130000000000001,5.33,,0.0,7.69,,,,55.470000000000006,,26.449999999999996,,,5.3100000000000005,1.09,3.6800000000000006
Albania,1962,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.63,5.3100000000000005,5.36,,0.0,7.73,,,,55.470000000000006,,28.229999999999997,,,5.19,1.09,3.63
Albania,1963,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.97,5.2700000000000005,5.41,,0.0,7.450000000000001,,,,54.42,,25.979999999999997,,,4.5,1.0399999999999998,3.4800000000000004
Albania,1964,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.72,5.12,5.32,,0.0,7.48,,,,46.28,,24.619999999999997,,,4.550000000000001,1.0599999999999998,3.49
Albania,1965,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.55,5.16,5.49,,0.0,7.590000000000001,,,,54.440000000000005,,27.909999999999997,,,4.26,1.1799999999999995,3.3600000000000003
Albania,1966,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.4399999999999995,4.95,5.32,,0.0,7.130000000000001,,,,46.27,,24.929999999999996,,,4.12,0.8199999999999998,3.3600000000000003
Albania,1967,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.319999999999999,5.16,5.220000000000001,,0.0,6.920000000000001,,,,45.440000000000005,,26.419999999999995,,,4.07,0.9999999999999998,3.4700000000000006
Albania,1968,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.27,5.34,5.32,,0.0,6.760000000000001,,,,47.690000000000005,,26.409999999999997,,,3.78,1.1,3.870000000000001
Albania,1969,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.04,5.32,5.15,,0.0,6.69,,,,50.150000000000006,,28.089999999999996,,,3.5900000000000003,1.19,3.75
Albania,1970,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,4.14,5.07,5.07,,0.0,6.57,,,,46.48,,28.19,,,3.89,1.0299999999999998,3.75
Albania,1971,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,3.81,5.32,5.13,,0.0,6.700000000000001,,,,43.85000000000001,,27.33,,,3.7,1.19,3.82
Albania,1972,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,3.78,5.24,5.0600000000000005,,0.0,6.670000000000001,,,,45.120000000000005,,28.339999999999996,,,3.86,1.4499999999999995,3.6800000000000006
Albania,1973,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,3.67,5.140000000000001,5.11,,0.0,6.640000000000001,,,,43.56,,27.569999999999997,,,3.7,1.2899999999999998,3.5700000000000003
Albania,1974,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,3.62,5.15,5.050000000000001,,0.0,6.44,,,,42.120000000000005,,26.949999999999996,,,3.86,1.09,3.5700000000000003
Albania,1975,6.15,0.0,4.44,0.0,8.64,0.0,0.0,33.66,2.57,6.86,5.99,0.0,2.55,70.12,0.0,2.09,5.68,3.74,5.17,5.1000000000000005,,0.0,5.94,,,,45.120000000000005,,26.69,,,3.4800000000000004,0.8599999999999999,3.5600000000000005
