Entity,Year,Daily fat supply (FAO (2017))
Azerbaijan,2001,38.83
Azerbaijan,2002,41.2
Azerbaijan,2003,46.38
Azerbaijan,2004,50.1
Azerbaijan,2005,50.04
Azerbaijan,2006,49.4
Azerbaijan,2007,48.0
Azerbaijan,2008,49.39
Azerbaijan,2009,52.86
Azerbaijan,2010,56.91
Azerbaijan,2011,57.9
Azerbaijan,2012,58.36
Azerbaijan,2013,59.27
Bahamas,1961,64.16
Bahamas,1962,63.61
Bahamas,1963,63.16
Bahamas,1964,66.97
Bahamas,1965,67.61
Bahamas,1966,72.09
Bahamas,1967,72.12
Bahamas,1968,80.21
Bahamas,1969,82.47
Bahamas,1970,84.62
Bahamas,1971,84.91
Bahamas,1972,83.7
Bahamas,1973,80.79
Bahamas,1974,81.39
Bahamas,1975,77.36
Bahamas,1976,77.99
Bahamas,1977,67.3
Bahamas,1978,63.32
Bahamas,1979,70.74
Bahamas,1980,86.42
Bahamas,1981,80.18
Bahamas,1982,88.05
Bahamas,1983,87.45
Bahamas,1984,88.89
Bahamas,1985,87.77
Bahamas,1986,94.43
Bahamas,1987,94.74
Bahamas,1988,94.39
Bahamas,1989,94.55
Bahamas,1990,86.88
Bahamas,1991,90.22
Bahamas,1992,83.24
Bahamas,1993,80.86
Bahamas,1994,78.65
Bahamas,1995,73.58
Bahamas,1996,74.91
Bahamas,1997,88.14
Bahamas,1998,88.08
Bahamas,1999,93.26
Bahamas,2000,93.86
Bahamas,2001,95.37
Bahamas,2002,95.51
Bahamas,2003,91.6
Bahamas,2004,92.77
Bahamas,2005,92.43
Bahamas,2006,92.23
Bahamas,2007,92.88
Bahamas,2008,93.54
Bahamas,2009,98.11
Bahamas,2010,96.02
Bahamas,2011,92.56
Bahamas,2012,104.34
Bahamas,2013,100.93
Bangladesh,1961,16.34
Bangladesh,1962,15.4
Bangladesh,1963,16.33
Bangladesh,1964,16.13
Bangladesh,1965,16.43
Bangladesh,1966,15.66
Bangladesh,1967,14.28
Bangladesh,1968,14.99
Bangladesh,1969,15.36
Bangladesh,1970,15.71
Bangladesh,1971,15.0
Bangladesh,1972,14.54
Bangladesh,1973,15.02
Bangladesh,1974,14.41
Bangladesh,1975,14.39
Bangladesh,1976,16.96
Bangladesh,1977,13.6
Bangladesh,1978,15.01
Bangladesh,1979,15.51
Bangladesh,1980,14.74
Bangladesh,1981,15.09
Bangladesh,1982,16.25
Bangladesh,1983,16.97
Bangladesh,1984,16.12
Bangladesh,1985,18.46
Bangladesh,1986,17.67
Bangladesh,1987,20.2
Bangladesh,1988,20.08
Bangladesh,1989,20.39
Bangladesh,1990,17.23
Bangladesh,1991,19.14
Bangladesh,1992,21.81
Bangladesh,1993,19.82
Bangladesh,1994,18.97
Bangladesh,1995,20.59
Bangladesh,1996,21.02
Bangladesh,1997,25.75
Bangladesh,1998,31.05
Bangladesh,1999,23.97
Bangladesh,2000,27.39
Bangladesh,2001,27.28
Bangladesh,2002,23.72
Bangladesh,2003,25.82
Bangladesh,2004,26.93
Bangladesh,2005,27.48
Bangladesh,2006,29.16
Bangladesh,2007,28.62
Bangladesh,2008,27.64
Bangladesh,2009,29.43
Bangladesh,2010,28.74
Bangladesh,2011,29.61
Bangladesh,2012,30.26
Bangladesh,2013,29.93
Barbados,1961,55.83
Barbados,1962,57.76
Barbados,1963,62.63
Barbados,1964,64.84
Barbados,1965,68.86
Barbados,1966,65.15
Barbados,1967,68.34
Barbados,1968,69.77
Barbados,1969,73.93
Barbados,1970,78.7
Barbados,1971,88.36
Barbados,1972,90.62
Barbados,1973,90.49
Barbados,1974,90.58
Barbados,1975,85.06
Barbados,1976,90.13
Barbados,1977,86.14
Barbados,1978,88.76
Barbados,1979,90.56
Barbados,1980,94.39
Barbados,1981,96.55
Barbados,1982,98.74
Barbados,1983,90.55
Barbados,1984,93.17
Barbados,1985,92.39
Barbados,1986,99.93
Barbados,1987,100.65
Barbados,1988,100.09
Barbados,1989,108.04
Barbados,1990,108.23
Barbados,1991,103.32
Barbados,1992,104.1
Barbados,1993,101.3
Barbados,1994,100.7
Barbados,1995,101.47
Barbados,1996,98.37
Barbados,1997,107.3
Barbados,1998,96.23
Barbados,1999,98.19
Barbados,2000,90.84
Barbados,2001,86.92
Barbados,2002,86.26
Barbados,2003,86.01
Barbados,2004,85.71
Barbados,2005,90.53
Barbados,2006,87.75
Barbados,2007,90.63
Barbados,2008,91.35
Barbados,2009,92.66
Barbados,2010,91.23
Barbados,2011,88.35
Barbados,2012,87.15
Barbados,2013,88.55
Belarus,1961,69.69
Belarus,1962,73.47
Belarus,1963,77.1
Belarus,1964,74.9
Belarus,1965,76.61
Belarus,1966,78.24
Belarus,1967,80.81
Belarus,1968,85.53
Belarus,1969,84.8
Belarus,1970,86.29
Belarus,1971,85.79
Belarus,1972,86.24
Belarus,1973,89.14
Belarus,1974,91.6
Belarus,1975,89.57
Belarus,1976,94.41
Belarus,1977,93.25
Belarus,1978,94.24
Belarus,1979,96.0
Belarus,1980,95.33
Belarus,1981,93.66
Belarus,1982,93.76
Belarus,1983,97.49
Belarus,1984,99.21
Belarus,1985,102.49
Belarus,1986,101.33
Belarus,1987,103.14
Belarus,1988,105.42
Belarus,1989,107.33
Belarus,1990,105.4
Belarus,1991,88.83
Belarus,1992,92.38
Belarus,1993,95.63
Belarus,1994,97.45
Belarus,1995,96.1
Belarus,1996,99.62
Belarus,1997,99.81
Belarus,1998,101.49
Belarus,1999,102.22
Belarus,2000,96.64
Belarus,2001,104.36
Belarus,2002,102.41
