Entity,Year,Imported deforestation (hectares),Exported deforestation (hectares),Net deforestation in trade (hectares),embodied_deforestation,deforestation_domestic_consumption,share_deforestation_exported,share_deforestation_domestic_consumption,imported_deforestation_per_capita,exported_deforestation_per_capita,domestic_consumption_deforestation_per_capita,net_traded_deforestation_per_capita,domestic_and_imported_deforestation
Albania,2006,1222.3040421783985,29.548142342240908,-1192.7558998361576,713.8887432382409,684.340600896,4.13904023870846,95.86095976129154,0.000399054535481,9.646798022279108e-06,0.0002234216783858,-0.0003894077374587,1906.6446430743983
Albania,2007,1556.6877431998214,24.957672519946986,-1531.7300706798744,1692.841553145947,1667.883880626,1.474306468527198,98.5256935314728,0.0005130809964402,8.225996216198742e-06,0.0005497310087758,-0.000504855000224,3224.5716238258215
Albania,2008,1210.8637933477976,21.712701755743183,-1189.1510915920544,2722.2675271344433,2700.5548253787,0.797596178161033,99.20240382183896,0.0004032180464028,7.230336914999395e-06,0.0008992856561367,-0.0003959877094878,3911.4186187264977
Albania,2009,679.0106664965265,4.555236287101707,-674.4554302094248,2659.0775218859017,2654.5222855988,0.1713088937651952,99.8286911062348,0.0002283924206177,1.5322019129168205e-06,0.0008928766517318,-0.0002268602187048,3333.5329520953264
Albania,2010,519.2463574257345,7.1150034140173375,-512.1313540117171,2744.995926954817,2737.8809235408,0.2591990517782087,99.7408009482218,0.0001761351280277,2.413501836505203e-06,0.0009287248723001,-0.0001737216261912,3257.1272809665343
Albania,2011,352.39225055737325,6.380156373081718,-346.0120941842915,2550.8451894377818,2544.4650330647,0.2501193094547589,99.74988069054524,0.0001203114546115,2.178271209655759e-06,0.0008687145896431,-0.0001181331834019,2896.8572836220733
Albania,2012,359.2176150446321,7.200615184272465,-352.01699986035965,1499.9661582025724,1492.7655430183,0.4800518428296442,99.51994815717036,0.0001232730319302,2.4710415869157396e-06,0.0005122736935546,-0.0001208019903432,1851.983158062932
Albania,2013,273.9640269580851,7.4642697329811085,-266.499757225104,399.2104067312311,391.74613699825,1.8697583046742656,98.13024169532574,9.43402296687621e-05,2.570340817142255e-06,0.0001348988075062,-9.176988885161984e-05,665.7101639563351
Algeria,2005,17244.309411030055,4.631747573942448,-17239.677663456114,3856.4628291071526,3851.83108153321,0.1201035191881984,99.8798964808118,0.0005201903291411,1.3972089212496072e-07,0.0001161939994429,-0.000520050608249,21096.140492563267
Algeria,2006,15153.087645543408,10.22509823123437,-15142.862547312174,4245.426310529574,4235.20121229834,0.2408497400101826,99.7591502599898,0.0004504351132708,3.039475114067468e-07,0.0001258940344311,-0.0004501311657594,19388.288857841748
Algeria,2007,14109.3499962989,10.606376392910532,-14098.74361990599,4684.753780232671,4674.14740383976,0.2264020029753572,99.77359799702464,0.0004129525564521,3.104275000120155e-07,0.0001368029795955,-0.000412642128952,18783.49740013866
Algeria,2008,15078.898248073649,13.95267413689544,-15064.945573936751,5516.639249452225,5502.68657531533,0.2529198213981614,99.74708017860183,0.0004341625132611,4.017354564192059e-07,0.0001584373204144,-0.0004337607778047,20581.584823388977
Algeria,2009,18066.455748276825,27.47551436343656,-18038.98023391339,6740.1019190971065,6712.62640473367,0.4076424168837663,99.59235758311624,0.0005113051380618,7.77594225489233e-07,0.0001899764081262,-0.0005105275438363,24779.082153010495
Algeria,2010,14828.68192168215,46.64418309067514,-14782.037738591474,6364.177003730475,6317.5328206398,0.732917752968433,99.26708224703157,0.000412171162734,1.2965000720092043e-06,0.0001755992111804,-0.000410874662662,21146.21474232195
Algeria,2011,16739.51042082115,13.41564261833355,-16726.094778202816,6952.874784251364,6939.45914163303,0.1929510171637306,99.80704898283626,0.0004566026682529,3.659377163288931e-07,0.000189287230071,-0.0004562367305366,23678.96956245418
