Entity,Year,biomass_nox,brown_coal_nox,coal_coke_nox,diesel_oil_nox,hard_coal_nox,heavy_oil_nox,light_oil_nox,natural_gas_nox,process_nox,biomass_so2,brown_coal_so2,coal_coke_so2,diesel_oil_so2,hard_coal_so2,heavy_oil_so2,light_oil_so2,natural_gas_so2,process_so2,biomass_co,brown_coal_co,coal_coke_co,diesel_oil_co,hard_coal_co,heavy_oil_co,light_oil_co,natural_gas_co,process_co,biomass_oc,brown_coal_oc,coal_coke_oc,diesel_oil_oc,hard_coal_oc,heavy_oil_oc,light_oil_oc,natural_gas_oc,process_oc,biomass_nmvoc,brown_coal_nmvoc,coal_coke_nmvoc,diesel_oil_nmvoc,hard_coal_nmvoc,heavy_oil_nmvoc,light_oil_nmvoc,natural_gas_nmvoc,process_nmvoc,biomass_bc,brown_coal_bc,coal_coke_bc
Afghanistan,1774,135.49729913323898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.902701537351,153.44048184127402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156363.88319975798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6005.77089111533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14362.7137081233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.17604208332796,1797.29071929958,0.0,0.0
Afghanistan,1775,136.037828019229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.857220805947,154.05259007697998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156987.65353419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6029.7292479981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14420.0097700383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.357091436128,1804.4605120299,0.0,0.0
Afghanistan,1776,136.578236187556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.811740074543,154.664561609029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157611.28456044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6053.682254201331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14477.2930358809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.538140788928,1811.62870351254,0.0,0.0
Afghanistan,1777,137.11852363821998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.766259343139,155.276396437421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158234.776278506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6077.629909725019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14534.5635056513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.71919014173,1818.79529374751,0.0,0.0
Afghanistan,1778,137.65869037122098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.720778611734,155.888094562155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158858.128688389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6101.57221456916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14591.8211793494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.90023949452996,1825.9602827348,0.0,0.0
Afghanistan,1779,138.198736386559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.67529788033,156.499655983231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159481.341790089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6125.509168733761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14649.0660569753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.081288847331,1833.12367047441,0.0,0.0
Afghanistan,1780,138.738661684234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.629817148926,157.11108070065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160104.415583606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6149.44077221882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14706.2981385288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.26233820013096,1840.28545696635,0.0,0.0
Afghanistan,1781,139.300143756558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.66577472038,157.746916841102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160752.365895068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6174.32785637045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14765.8152381951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.492597942632,1847.73318119477,0.0,0.0
Afghanistan,1782,139.861488105357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.701732291834,158.38259702004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161400.157273582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6199.20883607613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14825.3177391678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.722857685132,1855.17907860292,0.0,0.0
Afghanistan,1783,140.42269473063303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.737689863288,159.018121237465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162047.78971915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6224.08371133596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14884.8056414471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.95311742763295,1862.62314919083,0.0,0.0
