Entity,Year,Cereal yield index (World Bank (2017) & OWID)
Barbados,1972,145
Barbados,1973,140
Barbados,1974,139
Barbados,1975,139
Barbados,1976,139
Barbados,1977,139
Barbados,1978,139
Barbados,1979,139
Barbados,1980,133
Barbados,1981,133
Barbados,1982,133
Barbados,1983,133
Barbados,1984,145
Barbados,1985,133
Barbados,1986,136
Barbados,1987,136
Barbados,1988,139
Barbados,1989,139
Barbados,1990,142
Barbados,1991,139
Barbados,1992,136
Barbados,1993,142
Barbados,1994,138
Barbados,1995,146
Barbados,1996,142
Barbados,1997,138
Barbados,1998,138
Barbados,1999,138
Barbados,2000,138
Barbados,2001,138
Barbados,2002,139
Barbados,2003,140
Barbados,2004,141
Barbados,2005,145
Barbados,2006,143
Barbados,2007,142
Barbados,2008,145
Barbados,2009,150
Barbados,2010,153
Barbados,2011,158
Barbados,2012,170
Barbados,2013,150
Barbados,2014,143
Belize,1961,100
Belize,1962,100
Belize,1963,116
Belize,1964,117
Belize,1965,124
Belize,1966,92
Belize,1967,172
Belize,1968,197
Belize,1969,213
Belize,1970,273
Belize,1971,256
Belize,1972,237
Belize,1973,312
Belize,1974,220
Belize,1975,177
Belize,1976,243
Belize,1977,267
Belize,1978,311
Belize,1979,287
Belize,1980,333
Belize,1981,347
Belize,1982,340
Belize,1983,313
Belize,1984,256
Belize,1985,254
Belize,1986,294
Belize,1987,286
Belize,1988,283
Belize,1989,270
Belize,1990,338
Belize,1991,382
Belize,1992,352
Belize,1993,357
Belize,1994,294
Belize,1995,298
Belize,1996,420
Belize,1997,402
Belize,1998,412
Belize,1999,471
Belize,2000,406
Belize,2001,520
Belize,2002,423
Belize,2003,496
Belize,2004,423
Belize,2005,510
Belize,2006,376
Belize,2007,442
Belize,2008,407
Belize,2009,498
Belize,2010,507
Belize,2011,529
Belize,2012,579
Belize,2013,606
Belize,2014,603
Benin,1961,100
Benin,1962,90
Benin,1963,92
Benin,1964,97
Benin,1965,101
Benin,1966,97
Benin,1967,106
Benin,1968,105
Benin,1969,102
Benin,1970,106
Benin,1971,98
Benin,1972,102
Benin,1973,126
Benin,1974,130
Benin,1975,135
Benin,1976,133
Benin,1977,138
Benin,1978,136
Benin,1979,132
Benin,1980,132
Benin,1981,120
Benin,1982,119
Benin,1983,110
Benin,1984,146
Benin,1985,157
Benin,1986,153
Benin,1987,133
Benin,1988,153
Benin,1989,156
Benin,1990,155
Benin,1991,161
Benin,1992,167
Benin,1993,168
Benin,1994,175
Benin,1995,199
Benin,1996,185
Benin,1997,205
Benin,1998,193
Benin,1999,213
Benin,2000,202
Benin,2001,196
Benin,2002,173
Benin,2003,210
Benin,2004,210
Benin,2005,208
Benin,2006,206
Benin,2007,186
Benin,2008,229
Benin,2009,233
Benin,2010,220
Benin,2011,278
Benin,2012,251
Benin,2013,256
Benin,2014,267
Bhutan,1961,100
Bhutan,1962,100
Bhutan,1963,100
Bhutan,1964,100
Bhutan,1965,100
Bhutan,1966,100
Bhutan,1967,100
Bhutan,1968,99
Bhutan,1969,100
Bhutan,1970,100
Bhutan,1971,100
Bhutan,1972,100
Bhutan,1973,100
Bhutan,1974,100
Bhutan,1975,100
Bhutan,1976,100
Bhutan,1977,100
Bhutan,1978,100
Bhutan,1979,100
Bhutan,1980,99
Bhutan,1981,101
Bhutan,1982,100
Bhutan,1983,99
Bhutan,1984,100
Bhutan,1985,96
Bhutan,1986,95
Bhutan,1987,82
Bhutan,1988,71
Bhutan,1989,70
Bhutan,1990,89
Bhutan,1991,76
Bhutan,1992,77
Bhutan,1993,81
Bhutan,1994,89
Bhutan,1995,95
Bhutan,1996,102
Bhutan,1997,107
Bhutan,1998,108
Bhutan,1999,105
Bhutan,2000,100
Bhutan,2001,101
Bhutan,2002,108
Bhutan,2003,124
Bhutan,2004,208
Bhutan,2005,162
Bhutan,2006,153
Bhutan,2007,139
Bhutan,2008,190
Bhutan,2009,150
Bhutan,2010,171
Bhutan,2011,194
Bhutan,2012,204
Bhutan,2013,204
Bhutan,2014,217
Bolivia,1961,100
Bolivia,1962,99
Bolivia,1963,99
Bolivia,1964,83
Bolivia,1965,110
Bolivia,1966,106
Bolivia,1967,115
Bolivia,1968,113
Bolivia,1969,113
Bolivia,1970,111
Bolivia,1971,116
Bolivia,1972,114
Bolivia,1973,114
Bolivia,1974,113
Bolivia,1975,120
Bolivia,1976,128
Bolivia,1977,109
Bolivia,1978,113
Bolivia,1979,119
Bolivia,1980,117
Bolivia,1981,136
Bolivia,1982,131
Bolivia,1983,109
Bolivia,1984,137
Bolivia,1985,140
Bolivia,1986,135
Bolivia,1987,140
Bolivia,1988,138
Bolivia,1989,142
Bolivia,1990,143
Bolivia,1991,142
Bolivia,1992,147
Bolivia,1993,161
Bolivia,1994,150
Bolivia,1995,164
Bolivia,1996,169
Bolivia,1997,145
Bolivia,1998,157
Bolivia,1999,143
Bolivia,2000,172
Bolivia,2001,187
Bolivia,2002,179
Bolivia,2003,206
Bolivia,2004,170
Bolivia,2005,202
Bolivia,2006,220
Bolivia,2007,185
Bolivia,2008,211
Bolivia,2009,246
Bolivia,2010,238
Bolivia,2011,214
Bolivia,2012,221
Bolivia,2013,180
Bolivia,2014,215
Botswana,1961,100
Botswana,1962,99
Botswana,1963,112
Botswana,1964,81
Botswana,1965,96
Botswana,1966,129
Botswana,1967,93
Botswana,1968,77
Botswana,1969,91
Botswana,1970,18
Botswana,1971,131
Botswana,1972,278
Botswana,1973,81
Botswana,1974,202
Botswana,1975,131
Botswana,1976,188
Botswana,1977,121
Botswana,1978,79
Botswana,1979,39
Botswana,1980,69
Botswana,1981,81
Botswana,1982,84
Botswana,1983,78
Botswana,1984,44
Botswana,1985,59
Botswana,1986,58
Botswana,1987,56
Botswana,1988,110
Botswana,1989,85
Botswana,1990,78
Botswana,1991,112
Botswana,1992,84
Botswana,1993,124
Botswana,1994,65
Botswana,1995,134
Botswana,1996,95
Botswana,1997,81
Botswana,1998,72
Botswana,1999,67
Botswana,2000,45
Botswana,2001,162
Botswana,2002,105
Botswana,2003,355
Botswana,2004,80
Botswana,2005,128
Botswana,2006,109
Botswana,2007,187
Botswana,2008,106
Botswana,2009,106
Botswana,2010,109
Botswana,2011,132
Botswana,2012,107
Botswana,2013,64
Botswana,2014,89
Brazil,1961,100
Brazil,1962,103
Brazil,1963,98
Brazil,1964,93
Brazil,1965,106
Brazil,1966,98
Brazil,1967,104
Brazil,1968,100
Brazil,1969,97
Brazil,1970,105
Brazil,1971,96
Brazil,1972,97
Brazil,1973,105
Brazil,1974,108
Brazil,1975,101
Brazil,1976,107
Brazil,1977,108
Brazil,1978,90
Brazil,1979,97
Brazil,1980,117
Brazil,1981,120
Brazil,1982,115
Brazil,1983,120
Brazil,1984,125
Brazil,1985,136
Brazil,1986,124
Brazil,1987,140
Brazil,1988,138
Brazil,1989,149
Brazil,1990,130
Brazil,1991,137
Brazil,1992,159
Brazil,1993,175
Brazil,1994,170
Brazil,1995,187
Brazil,1996,191
Brazil,1997,187
Brazil,1998,192
Brazil,1999,202
Brazil,2000,198
Brazil,2001,234
Brazil,2002,211
Brazil,2003,251
Brazil,2004,233
Brazil,2005,214
Brazil,2006,238
Brazil,2007,264
Brazil,2008,285
Brazil,2009,262
Brazil,2010,300
Brazil,2011,300
Brazil,2012,341
Brazil,2013,358
Brazil,2014,345
Brunei,1961,100
Brunei,1962,107
Brunei,1963,79
Brunei,1964,76
Brunei,1965,68
Brunei,1966,80
Brunei,1967,92
Brunei,1968,92
Brunei,1969,107
Brunei,1970,113
Brunei,1971,93
Brunei,1972,93
Brunei,1973,140
Brunei,1974,168
Brunei,1975,157
Brunei,1976,114
Brunei,1977,87
Brunei,1978,92
Brunei,1979,126
Brunei,1980,80
Brunei,1981,79
Brunei,1982,86
Brunei,1983,91
Brunei,1984,90
Brunei,1985,72
Brunei,1986,123
Brunei,1987,61
Brunei,1988,125
Brunei,1989,129
Brunei,1990,90
Brunei,1991,92
Brunei,1992,71
Brunei,1993,130
Brunei,1994,97
Brunei,1995,95
Brunei,1996,95
Brunei,1997,74
Brunei,1998,63
Brunei,1999,30
Brunei,2000,38
Brunei,2001,42
Brunei,2002,42
Brunei,2003,46
Brunei,2004,47
Brunei,2005,50
Brunei,2006,47
Brunei,2007,42
Brunei,2008,40
Brunei,2009,30
Brunei,2010,34
Brunei,2011,53
Brunei,2012,56
Brunei,2013,56
Brunei,2014,48
Bulgaria,1961,100
Bulgaria,1962,104
Bulgaria,1963,106
